Dates,World Momentum,US Quality,World Low Volatility,EU Gov bonds 7-10y,EU Corp Large Cap bonds,US TIPS 0-5y,US Short Treasury,ETC GOLD
2021-10-29,68.43000030517578,9.862000465393066,59.400001525878906,213.0652313232422,131.26588439941406,4.609505653381348,4.485438346862793,149.52000427246094
2021-09-30,64.06999969482422,9.244000434875488,57.77000045776367,216.0638427734375,132.211181640625,4.583862781524658,4.485438346862793,149.52000427246094
2021-08-31,66.220001220703125,9.623000144958496,60.38999938964844,218.92922973632813,133.1405792236328,4.591821670532227,4.4859747886657715,149.52000427246094
2021-07-30,64.12000274658203,9.291999816894531,59.36000061035156,220.29051208496094,133.8294677734375,4.584746837615967,4.4859747886657715,149.52000427246094
2021-06-30,63.029998779296875,8.994999885559082,57.66999816894531,216.3875274658203,132.25352478027344,4.526387691497803,4.4859747886657715,144.16000366210938
2021-05-28,62.435001373291016,8.489999771118164,57.38999938964844,215.37844848632813,131.61163330078125,4.524620056152344,4.4859747886657715,150.38999938964844
2021-04-30,63.209999084472656,8.494999885559082,56.09000015258789,215.45460510253906,132.044921875,4.491666316986084,4.486420631408691,142.19000244140625
2021-03-31,59.119998931884766,8.321999549865723,54.66999816894531,217.6250457763672,132.08261108398438,4.452025413513184,4.4859747886657715,140.60000610351563
2021-02-26,59.22999954223633,7.735000133514404,52.209999084472656,216.39706420898438,131.65042114257813,4.415468215942383,4.485617637634277,137.89999389648438
2021-01-29,59.54999923706055,7.456999778747559,53,220.5665740966797,133.25784301757813,4.429123401641846,4.4860639572143555,148.24000549316406
2020-12-30,58.95000076293945,7.504000186920166,53.84000015258789,221.45188903808594,133.36123657226563,4.39851188659668,4.484724044799805,148.75
2020-11-30,55.97999954223633,7.436999797821045,52.5,221.0996856689453,133.34735107421875,4.36503791809082,4.484724044799805,144.35000610351563
2020-10-30,51.595001220703125,6.875,49.40999984741211,220.91940307617188,132.1372528076172,4.338171005249023,4.483830451965332,156.3800048828125
2020-09-30,53.439998626708984,7.058000087738037,51.08000183105469,218.98719787597656,131.28359985351563,4.3516459465026855,4.484278202056885,156.02999877929688
2020-08-28,54.52000045776367,7.160999774932861,51.77000045776367,216.67425537109375,130.90769958496094,4.3564276695251465,4.483565807342529,159.49000549316406
2020-07-31,51.13999938964844,6.677999973297119,50.27000045776367,217.98777770996094,130.79537963867188,4.306438446044922,4.483120918273926,161.99000549316406
2020-06-30,47.72999954223633,6.704999923706055,48.619998931884766,216.1317138671875,129.11058044433594,4.278619289398193,4.481786251068115,153.8000030517578
2020-05-29,45.34000015258789,6.750999927520752,48.65999984741211,213.90443420410156,127.35075378417969,4.249059677124023,4.48134183883667,151.1699981689453
2020-04-30,43.375,6.589000225067139,47.599998474121094,213.06964111328125,126.93048095703125,4.219593048095703,4.482231616973877,150.85000610351563
2020-03-31,40.2599983215332,5.942999839782715,44.970001220703125,213.06964111328125,122.21416473388672,4.159566402435303,4.483565807342529,142.19000244140625
2020-02-28,43.33000183105469,6.51800012588501,48.79999923706055,216.15113830566406,129.96034240722656,4.231555461883545,4.460387706756592,140.1300048828125
2020-01-31,47.5099983215332,7.158999919891357,53.599998474121094,217.7394561767578,131.31163024902344,4.211048603057861,4.450689315795898,138.92999267578125
2019-12-30,45.900001525878906,7.122000217437744,52.43000030517578,212.3943634033203,129.93238830566406,4.193745136260986,4.444517612457275,131.1199951171875
2019-11-29,44.95000076293945,7.025000095367432,51.880001068115234,214.14434814453125,130.01361083984375,4.162984848022461,4.437463283538818,128.97000122070313
2019-10-31,43.7400016784668,6.625999927520752,51.279998779296875,216.63043212890625,130.40415954589844,4.161569118499756,4.433495998382568,131.61000061035156
2019-09-30,43.27000045776367,6.6479997634887695,51.06999969482422,218.85015869140625,130.6365966796875,4.152144432067871,4.42203426361084,130.72999572753906
2019-08-30,43.4900016784668,6.4629998207092285,50.47999954223633,219.84619140625,131.7666778564453,4.159056663513184,4.416049003601074,135.07000732421875
2019-07-31,44.0099983215332,6.583000183105469,49.95500183105469,215.4447021484375,130.98744201660156,4.141882419586182,4.406032562255859,124.61000061035156
2019-06-28,43.08000183105469,6.260000228881836,49.33000183105469,212.0392608642578,129.10440063476563,4.135599136352539,4.399063587188721,120.5
2019-05-31,40.689998626708984,6.02400016784668,47.20000076293945,207.84645080566406,127.03840637207031,4.106905937194824,4.386867523193359,113.37999725341797
2019-04-30,41.939998626708984,6.360000133514404,47.54999923706055,205.437255859375,127.35304260253906,4.08697509765625,4.37684965133667,111.37999725341797
2019-03-29,40.70000076293945,6.129000186920166,47.08000183105469,205.5506591796875,126.64976501464844,4.067746639251709,4.368574619293213,112.22000122070313
